carrier,carrier_name,rate_version,source,area,area_label,age_band,age_min,age_max,product_code,product_name,annual_premium,source_value_raw,currency
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",20-24,20,24,premium,Morgan Price Premium,2996.48,2996.4780951828907,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",20-24,20,24,elite,Morgan Price Elite,4261.05,4261.046533451845,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",25-29,25,29,standard,Morgan Price Standard,1163.99,1163.9918473803816,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",25-29,25,29,standard_plus,Morgan Price Standard Plus,1479.79,1479.791582428466,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",25-29,25,29,comprehensive,Morgan Price Comprehensive,2599.42,2599.4214742556296,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",25-29,25,29,premium,Morgan Price Premium,3448.64,3448.6407101453874,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",25-29,25,29,elite,Morgan Price Elite,4722.47,4722.4695639800275,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",30-34,30,34,standard,Morgan Price Standard,1269.8,1269.8018773474478,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",30-34,30,34,standard_plus,Morgan Price Standard Plus,1650.55,1650.554949743574,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",30-34,30,34,comprehensive,Morgan Price Comprehensive,3000.46,3000.4561610244878,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",30-34,30,34,premium,Morgan Price Premium,3981.44,3981.4406761428795,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",30-34,30,34,elite,Morgan Price Elite,5452.93,5452.9337523689965,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",35-39,35,39,standard,Morgan Price Standard,1619.09,1619.0891010784837,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",35-39,35,39,standard_plus,Morgan Price Standard Plus,1978.76,1978.761685223852,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",35-39,35,39,comprehensive,Morgan Price Comprehensive,3253.96,3253.9600371351053,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",35-39,35,39,premium,Morgan Price Premium,4317.52,4317.522025563696,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",35-39,35,39,elite,Morgan Price Elite,5912.86,5912.856856432317,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",40-44,40,44,standard,Morgan Price Standard,1850.05,1850.0451695705415,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",40-44,40,44,standard_plus,Morgan Price Standard Plus,2261.3,2261.302181268421,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",40-44,40,44,comprehensive,Morgan Price Comprehensive,3719.39,3719.3937406019463,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",40-44,40,44,premium,Morgan Price Premium,4933.45,4933.453785521445,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",40-44,40,44,elite,Morgan Price Elite,6754.54,6754.54385290069,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",45-49,45,49,standard,Morgan Price Standard,2242.99,2242.9920996772385,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",45-49,45,49,standard_plus,Morgan Price Standard Plus,2742.1,2742.096071059188,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",45-49,45,49,comprehensive,Morgan Price Comprehensive,4511.67,4511.665279767809,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",45-49,45,49,premium,Morgan Price Premium,5985.05,5985.050614640419,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",45-49,45,49,elite,Morgan Price Elite,8195.15,8195.154418436683,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",50-54,50,54,standard,Morgan Price Standard,2825.61,2825.606885129334,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",50-54,50,54,standard_plus,Morgan Price Standard Plus,3348.47,3348.4654258688256,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",50-54,50,54,comprehensive,Morgan Price Comprehensive,5202.22,5202.216287318806,EUR
